"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"proton-transporting ATPase activity, rotational mechanism [GO:0046961]",17,0.5468,0.36916,1,0.4532,0.63094,0.9918,0.32782,0.64124,1,7,0.29744,0.38096,1,10,0.34908,0.77682,1
"proton motive force-driven ATP synthesis [GO:0015986]",17,0.54082,0.34337,0.97508,0.45918,0.65673,1,0.29676,0.45885,1,7,0.24519,0.20198,1,10,0.33286,0.71823,1
"rRNA processing [GO:0006364]",108,0.54229,0.15588,0.75234,0.45771,0.84422,1,0.3975,0.9993,1,50,0.44064,0.9947,1,58,0.36031,0.9777,1
"ribosome biogenesis [GO:0042254]",85,0.54857,0.23358,0.87955,0.45143,0.76652,1,0.38278,0.994,1,40,0.44742,0.992,1,45,0.32532,0.83172,1
"O-acyltransferase activity [GO:0008374]",9,0.53141,0.34937,0.98939,0.46859,0.65073,1,0.20165,0.12199,0.68903,4,0.17253,0.13089,1,5,0.22495,0.33857,1
"acyltransferase activity [GO:0016746]",45,0.53529,0.21528,0.87212,0.46471,0.78482,1,0.18243,0.00049995,0.036711,21,0.19965,0.0084992,0.27783,24,0.16736,0.0058994,0.15742
"fatty acid metabolic process [GO:0006631]",17,0.22136,9.999e-05,0.017132,0.77864,1,1,0.21302,0.073393,0.6029,13,0.12105,0.00059994,0.073726,4,0.5119,0.94121,1
"phospholipid metabolic process [GO:0006644]",12,0.61582,0.63634,1,0.38418,0.36376,0.72611,0.26027,0.28937,0.94137,5,0.3903,0.68093,1,7,0.16739,0.11489,0.69759
"phospholipid biosynthetic process [GO:0008654]",19,0.73275,0.9735,1,0.26725,0.026597,0.16275,0.31879,0.57714,1,4,0.4877,0.84422,1,15,0.27375,0.44586,1
"mitochondrial membrane [GO:0031966]",32,0.65206,0.88331,1,0.34794,0.11679,0.36729,0.31843,0.60134,1,11,0.45098,0.90441,1,21,0.249,0.26547,0.9156
